cluster,model_type,rmse,r2,n_features
0,linear,4.255565650219821,0.001921472423285664,3
0,rf,4.255784301518567,0.0018189070815143316,3
3,linear,5.020462036543482,-0.0008339932531913341,3
3,rf,4.549060409249615,0.1782909293423327,3
5,linear,66.56567398965285,-0.6193038926296683,3
5,rf,59.73730623803363,-0.30412422487096835,3
1,linear,7.442308304654541,0.008575275548388328,3
1,rf,7.591257575964346,-0.03150630317192893,3
2,linear,5.199854555805056,-0.0006512111718446345,3
2,rf,5.192389927621785,0.0022196875259306026,3
4,linear,20.013522330005106,0.4309811913824194,3
4,rf,23.156979182876462,0.23819578321171642,3
6,linear,37.176919033513705,-0.016277947382143276,3
6,rf,35.790669839402575,0.05809877105071448,3
